UF,MUNICIPIO,NO_FANTASIA,CO_CNES,notificacoes
MT,TANGARA DA SERRA,HOSPITAL DAS CLINICAS VIDA E SAUDE,2472139,40
PA,ITUPIRANGA,HOSPITAL MUNICIPAL DE ITUPIRANGA,2615711,40
PA,SANTA ISABEL DO PARA,HOSPITAL MUNICIPAL DR EDILSON ABREU,9177140,40
PE,RECIFE,HOSPITAL SANTA TERESINHA,6230407,40
RJ,SAO JOAO DE MERITI,HOSPITAL MUNICIPAL DE SAO JOAO DE MERITI ABDON GONCALVES,2298708,40
RJ,SEROPEDICA,UPA 24H SEROPEDICA,9960538,40
SP,AMPARO,SANTA CASA ANNA CINTRA,2078848,40
AM,MANAUS,UNIMED MANAUS,9147047,39
BA,LAURO DE FREITAS,HOSPITAL GERAL MENANDRO DE FARIA,2802023,39
BA,SALVADOR,HOSPITAL FAMILIA SAGRADA,108375,39
BA,SALVADOR,HOSPITAL SALVADOR,2444747,39
ES,SERRA,VIGILANCIA EPIDEMIOLOGICA DA SERRA,5354447,39
GO,GOIANIA,INSTITUTO ORTOPEDICO DE GOIANIA IOG,2338149,39
MG,CONSELHEIRO LAFAIETE,POLICLINICA MUNICIPAL,8000956,39
MG,SAO GOTARDO,HOSPITAL MUNICIPAL DE SAO GOTARDO,2100681,39
MS,AQUIDAUANA,ABRAM MS,2695138,39
MT,CUIABA,UNIDADE DE PRONTO ATENDIMENTO MORADA DO OURO,7263813,39
MT,QUERENCIA,HOSPITAL MUNICIPAL DE QUERENCIA,4070070,39
PA,CONCORDIA DO PARA,HOSPITAL E MATERNIDADE JOAO LINS DE OLIVEIRA,2622319,39
PA,MARAPANIM,HOSPITAL MUNICIPAL DE MARAPANIM,2621584,39
PA,REDENCAO,HOSPITAL MUNICIPAL DR IRACI MACHADO DE ARAUJO,2316641,39
PR,CURITIBA,HOSPITAL INFANTIL PEQUENO PRINCIPE,15563,39
RJ,TANGUA,POLICLINICA MUNICIPAL DEMERVAL GARCIA DE FREITAS,2283735,39
RS,ESPUMOSO,ESF DR GERARDO BARBOSA ESPUMOSO,2244993,39
RS,SANTA MARIA,HUSM HOSPITAL UNIVERSITARIO DE SANTA MARIA,2244306,39
SP,GUARULHOS,DEPARTAMENTO DE VIGILANCIA EM SAUDE,4048334,39
SP,IPUA,SANTA CASA DE IPUA,2080451,39
SP,RANCHARIA,HOSPITAL E MATERNIDADE DE RANCHARIA,2081873,39
SP,SAO CAETANO DO SUL,HOSPITAL E MATERNIDADE CENTRAL SAO CAETANO DE SUL,2080613,39
SP,SAO PAULO,HOSPITAL E MATERNIDADE SAO MIGUEL,2078619,39
CE,BATURITE,UMPA UNIDADE MUNICIPAL DE PRONTO ATENDIMENTO,6619908,38
GO,SAO LUIS DE MONTES BELOS,HOSPITAL REGIONAL DE S LUIS DE MONTES BELOS DR GERALDO LANDO,2382474,38
MG,BELO HORIZONTE,HOSPITAL SAO LUCAS,7166966,38
MG,BELO HORIZONTE,SOCOR,26824,38
MG,PIRAPORA,HOSPITAL DR MOISES MAGALHAES FREIRE,2119528,38
MG,UBERABA,UPA UNIDADE DE PRONTO ATENDIMENTO SAO BENEDITO,2164817,38
PA,VIGIA,HOSPITAL MUNICIPAL DE VIGIA,2314002,38
PE,BEZERROS,HOSPITAL DE CAMPANHA DE BEZERROS,130575,38
RO,PORTO VELHO,HOSPITAL 9 DE JULHO DE RONDONIA,2515466,38
RS,PORTO ALEGRE,HOSPITAL GERAL DE PORTO ALEGRE,7989954,38
RS,SAO LUIZ GONZAGA,HOSPITAL SAO LUIZ GONZAGA,2259893,38
SC,INDAIAL,HOSPITAL BEATRIZ RAMOS,2521873,38
SC,NAVEGANTES,HOSPITAL NOSSA SENHORA DOS NAVEGANTES,2674327,38
SP,ARARAQUARA,SANTA CASA DE ARARAQUARA,2082527,38
TO,COLINAS DO TOCANTINS,HOSPITAL MUNICIPAL DE COLINAS,2765667,38
AM,MANAQUIRI,UNIDADE HOSPITALAR DE MANAQUIRI,2011891,37
AM,RIO PRETO DA EVA,UNIDADE HOSPITALAR DE RIO PRETO DA EVA,2708930,37
BA,SALVADOR,UPA 24H VALERIA,7476469,37
CE,CAUCAIA,UNIDADE DE PRONTO ATENDIMENTO DA JUREMA,9346309,37
GO,GOIANIA,GASTRO SALUSTIANO HOSPITAL,2339110,37
GO,LUZIANIA,UNIDADE DE PRONTO ATENDIMENTO DE LUZIANIA UPA,7883668,37
MA,ZE DOCA,HOSPITAL SESP DE ZE DOCA,2465469,37
MS,CAMPO GRANDE,PRONCOR,2599848,37
MS,CHAPADAO DO SUL,HOSPITAL MUNICIPAL DE CHAPADAO DO SUL,2536293,37
MS,NAVIRAI,HOSPITAL CASSEMS UNIDADE NAVIRAI,6611044,37
PA,CANAA DOS CARAJAS,HOSPITAL 05 DE OUTUBRO,5874645,37
PA,MARABA,CLIMEC,2615770,37
PA,SAO CAETANO DE ODIVELAS,SECRETARIA MUNICIPAL DE SAUDE DE SAO CAETANO DE ODIVELAS,6778348,37
PA,SAO DOMINGOS DO CAPIM,HOSPITAL MUNICIPAL DE SAO DOMINGOS DO CAPIM,2317958,37
PA,TERRA SANTA,HOSPITAL FREI ELIZEU EISMANN,2619946,37
PE,RECIFE,HOSPITAL UNIMED RECIFE I,5540739,37
PI,SAO RAIMUNDO NONATO,HOSP REG SEN CANDIDO FERRAZ,2777649,37
PI,TERESINA,HOSPITAL INFANTIL LUCIDIO PORTELLA,2323249,37
RJ,CAMPOS DOS GOYTACAZES,HOSPITAL GERAL DE GUARUS,3002187,37
RJ,NITEROI,SES RJ UPA 24H FONSECA,7136552,37
RJ,RIO DE JANEIRO,CLINICA SANTA BARBARA,3058336,37
SE,LAGARTO,HOSPITAL NOSSA SENHORA DA CONCEICAO,2421518,37
SP,GUAIRA,SANTA CASA DE GUAIRA,2078414,37
SP,ITAPEVI,VIGILANCIA EPIDEMIOLOGICA DE ITAPEVI,2746972,37
SP,MAUA,UPA VILA ASSIS,6950043,37
SP,PRAIA GRANDE,PRONTO SOCORRO QUIETUDE,4049284,37
SP,SOROCABA,VIGILANCIA EPIDEMIOLOGICA DE SOROCABA,2061910,37
SP,TAUBATE,VIGILANCIA EPIDEMIOLOGICA DE TAUBATE,2046873,37
AM,MANAUS,MATERNIDADE DE REFERENCIA ANA BRAGA,3151794,36
CE,FORTALEZA,PRONTOCARDIO PRONTO ATENDIMENTO CARDIOLOGICO,2785927,36
ES,VITORIA,HOSPITAL UNIVERSITARIO CASSIANO ANTONIO MORAES HUCAM,4044916,36
MA,ZE DOCA,HOSPITAL DE CAMPANHA COVID 19 ZE DOCA,7485808,36
PA,GOIANESIA DO PARA,HOSPITAL MUNICIPAL DE GOIANESIA,2312174,36
PA,SANTAREM,HOSPITAL UNIMED,6440630,36
PE,JOAO ALFREDO,UNIDADE MISTA JOANA AMELIA CAVALCANTI,2715287,36
RJ,QUISSAMA,HOSPITAL MUNICIPAL MARIANA MARIA DE JESUS,2267209,36
RJ,RIO DE JANEIRO,HOSPITAL PASTEUR,3603474,36
RN,NATAL,HOSPITAL COLONIA DR JOAO MACHADO,2408260,36
RS,PORTO ALEGRE,HOSPITAL PORTO ALEGRE,5026253,36
SP,BARUERI,PS E MATERNIDADE NAIR FONSECA LEITAO ARANTES,2082209,36
SP,COLINA,SECRETARIA MUNICIPAL DA SAUDE SMS COLINA,6390390,36
SP,JUNDIAI,HOSPITAL UNIMED UNIDADE ANCHIETA,6194168,36
SP,SANTOS,UNIDADE HOSPITAL VITORIA SANTOS,3552012,36
AM,NHAMUNDA,UNIDADE HOSPITALAR DE NHAMUNDA,2016540,35
BA,SIMOES FILHO,UPA SIMOES FILHO,7443382,35
CE,FORTALEZA,HOSPITAL BATISTA MEMORIAL,2644975,35
DF,BRASILIA,HOSPITAL DO CORACAO DO BRASIL,5027438,35
MG,CONTAGEM,UNIDADE DE PRONTO ATENDIMENTO RESSACA UPA,2189879,35
PA,ORIXIMINA,HOSPITAL DE PORTO TROMBETAS,6312314,35
PR,ITAPERUCU,HOSPITAL E MATERNIDADE ITAPERUCU,17612,35
RJ,RIO CLARO,HOSPITAL MUNICIPAL NOSSA SENHORA DA PIEDADE,6232094,35
RJ,RIO DE JANEIRO,HOSPITAL DR BADIM,3048721,35
RJ,SAO GONCALO,SES RJ UPA 24H SAO GONCALO II,6903665,35
RS,SOLEDADE,HOSPITAL FREI CLEMENTE SOLEDADE,2246961,35
SP,ANGATUBA,HOSPITAL ANGATUBA,2082748,35
SP,ARTUR NOGUEIRA,HOSPITAL BOM SAMARITANO DE ARTUR NOGUEIRA,3018288,35
SP,JACAREI,HOSPITAL SAO FRANCISCO DE ASSIS,2085194,35
SP,RIBEIRAO PIRES,REDE DOR SAO LUIZ S A,3580822,35
AL,MARECHAL DEODORO,HOSPITAL DE CAMPANHA COVID 19 MARECHAL DEODORO,193496,34
BA,POJUCA,HOSPITAL MUNICIPAL DR CARLITO SILVA,7187556,34
BA,SALVADOR,HOSPITAL GERAL DO ESTADO,4294,34
ES,VILA VELHA,CENTRO MEDICO HOSPITALAR DE VILA VELHA S A,5417139,34
MA,BARRA DO CORDA,HOSPITAL ACRISIO FIGUEIRA,2462591,34
MA,SAO LUIS,UPA PARQUE VITORIA,6826393,34
MG,MONTES CLAROS,HOSPITAL UNIVERSITARIO CLEMENTE DE FARIA,2219654,34
MG,PARACATU,HOSPITAL MUNICIPAL DE PARACATU,2100754,34
MG,TEOFILO OTONI,UPA 24 HORAS,6875343,34
MS,DOURADOS,EBSERH HOSPITAL UNIVERSITARIO GRANDE DOURADOS,2710935,34
MT,NOVA MARILANDIA,PRONTO ATENDIMENTO,7449062,34
PA,BELEM,HOSPITAL GERAL DE BELEM,9387137,34
PB,CAMPINA GRANDE,UPA 24 HORAS DR MAIA,7052251,34
PB,JOAO PESSOA,UPA CRUZ DAS ARMAS,9132686,34
PE,ESCADA,HOSPITAL REGIONAL DR BENEVOLO WANDERLEY DO AMARAL,2712059,34
PE,ITAMBE,UNIDADE MISTA DR HERCILIO MORAES BORBA,2352559,34
RJ,RIO DE JANEIRO,PRONTO SOCORRO CLINICO PRONTOCOR,3185095,34
RJ,RIO DE JANEIRO,SEAP CGSP RJ HOSPITAL DR HAMILTON AGOSTINHO VIEIRA CASTRO,2270161,34
RJ,SAPUCAIA,PRONTO SOCORRO MUNICIPAL DE SAPUCAIA,2274310,34
RS,ESTANCIA VELHA,HOSPITAL MUNICIPAL GETULIO VARGAS,2707632,34
SP,LEME,HOSPITAL UNIMED LEME,2082462,34
SP,SANTO ANDRE,HOSPITAL DAS ACACIAS,9335951,34
SP,SAO PAULO,INST DO CANCER ARNALDO VIEIRA DE CARVALHO,2080125,34
AC,RIO BRANCO,HOSPITAL SANTA JULIANA,2002078,33
BA,SANTO ANTONIO DE JESUS,INCAR,3042413,33
ES,COLATINA,HOSPITAL E MATERNIDADE SILVIO AVIDOS,2446030,33
GO,APARECIDA DE GOIANIA,UPA AMBROSINA COIMBRA BUENO,7777825,33
GO,PLANALTINA,HOSPITAL MUNICIPAL MATERNO INFANTIL SANTA RITA DE CASSIA,2437651,33
GO,QUIRINOPOLIS,HOSPITAL MUNICIPAL ANTONIO MARTINS DA COSTA,2360470,33
MA,SAO LUIS,HOSPITAL DE CANCER DO MARANHAO DR TARQUINIO LOPES FILHO,2646536,33
MA,SAO LUIS,HOSPITAL GERAL DA VILA LUIZAO,3344614,33
MG,OURO FINO,CASA DE CARIDADE DE OURO FINO,2127911,33
MG,UBA,HOSPITAL SAO VICENTE DE PAULO DE UBA,2760703,33
MG,UBERABA,HOSPITAL E MATERNIDADE SAO DOMINGOS,7169973,33
MT,CONFRESA,HOSPITAL MUNICIPAL DE CONFRESA,2793636,33
MT,CUIABA,UTI SOTRAUMA,7775148,33
MT,VARZEA GRANDE,METROPOLITANO HOSPITAL ESTADUAL LOUSITE FERREIRA DA SILVA,6853781,33
PA,SAO FELIX DO XINGU,HOSPITAL MUNICIPAL ORZEU JONAS GUIDA,2694891,33
PA,TOME-ACU,HOSPITAL MUNICIPAL DE TOME ACU,2360411,33
PB,GUARABIRA,UPA UNIDADE DE PRONTO ATENDIMENTO DE GUARABIRA,6964370,33
PE,IPUBI,HOSPITAL MUNICIPAL MARCELINO DA SILVA MUDO,2715228,33
PI,PIRIPIRI,HOSP REG CHAGAS RODRIGUES,2777746,33
PR,UMUARAMA,UOPECCAN FILIAL UMUARAMA,7845138,33
RJ,CAMPOS DOS GOYTACAZES,UNIDADE PRE HOSPITALAR SAO JOSE,2287374,33
RJ,RIO DE JANEIRO,SES RJ UPA 24H CAMPO GRANDE II,6038905,33
RN,NATAL,UPA 24H POTENGI,7923287,33
RS,CACHOEIRA DO SUL,HOSPITAL DE CARIDADE E BENEFICENCIA,2266474,33
RS,SANTO ANGELO,UNIMED MISSOES RS,2257890,33
SC,CAMPOS NOVOS,HOSPITALAR DR JOSE ATHANAZIO,2379767,33
SC,TIJUCAS,HOSPITAL SAO JOSE TIJUCAS,2626659,33
SP,CUBATAO,UPA DR MARIO RUIVO DE CUBATAO,7546696,33
SP,SANTA CRUZ DAS PALMEIRAS,SANTA CASA DE SANTA CRUZ DAS PALMEIRAS,2080745,33
SP,SAO BERNARDO DO CAMPO,UPA UNIAO ALVARENGA,6607667,33
SP,SAO JOSE DOS CAMPOS,HOSPITAL DE CLINICAS SUL,26417,33
SP,SAO PAULO,HOSPITAL DA CRIANCA,2080168,33
SP,SAO SEBASTIAO,HOSPITAL DE CLINICAS DE SAO SEBASTIAO,2765934,33
AM,BERURI,UNIDADE HOSPITALAR DE BERURI,2016605,32
AM,ITAPIRANGA,UNIDADE HOSPITALAR DE ITAPIRANGA,2708906,32
AM,LABREA,UNIDADE HOSPITALAR DE LABREA,2012618,32
AM,MANAUS,HOSPITAL E P S DA CRIANCA DA ZONA OESTE,2018071,32
AM,MANAUS,SPA ALVORADA,2017873,32
BA,SALVADOR,HOSPITAL EVANGELICO DA BAHIA HEB,4979,32
GO,ANAPOLIS,CENTRO DE INTERNACAO NORMA PIZZARI GONCALVES,103276,32
GO,CIDADE OCIDENTAL,HOSPITAL MUNICIPAL DE CIDADE OCIDENTAL,2569728,32
MG,BELO HORIZONTE,HOSPITAL MARIO PENNA,2695359,32
MG,CORONEL FABRICIANO,NUCLEO DE ESPECIALIDADE E DIAGNOSTICO,2178672,32
MG,POCOS DE CALDAS,HOSPITAL UNIMED PRONTO ATENDIMENTO,3582647,32
MG,SAO LOURENCO,CASA DE CARIDADE DE SAO LOURENCO,2764814,32
MT,ALTA FLORESTA,HOSPITAL REGIONAL DE ALTA FLORESTA ALBERT SABIN,2471345,32
MT,UNIAO DO SUL,CENTRO DE SAUDE DE UNIAO DO SUL,7770804,32
PA,ABAETETUBA,HOSPITAL MUNICIPAL SAO BENTO,2318482,32
PA,GARRAFAO DO NORTE,HOSPITAL E MATERNIDADE MUNICIPAL MANOEL GONCALVES EUFRASIO,9601503,32
PA,PARAGOMINAS,UPA PARAGOMINAS SOLANGE MARIA DO NASCIMENTO MELO,7117086,32
PE,CARUARU,UPA CARUARU,6631819,32
PE,PETROLINA,HOSPITAL DA UNIMED EM PETROLINA,9698469,32
PR,PATO BRANCO,ISSAL,17884,32
RJ,ARARUAMA,HCLAGOS,3988732,32
RJ,CAMPOS DOS GOYTACAZES,DIVISAO DE EPIDEMIOLOGIA,2287471,32
RJ,RIO DE JANEIRO,HOSPITAL SAO FRANCISCO NA PROVIDENCIA DE DEUS,7453434,32
RS,SANTO ANTONIO DA PATRULHA,HOSPITAL DE SANTO ANTONIO DA PATRULHA,6389104,32
SC,FRAIBURGO,ACENI,7274351,32
SP,AURIFLAMA,UBS DE AURIFLAMA,2030497,32
SP,BARRETOS,HOSPITAL SAO JORGE,3142531,32
SP,JACAREI,HOSPITAL DE CLINICAS ANTONIO AFONSO,2026112,32
SP,LORENA,HOSPITAL UNIMED DE LORENA,3557081,32
SP,PRESIDENTE EPITACIO,SANTA CASA DE PRESIDENTE EPITACIO,2751038,32
SP,SAO BERNARDO DO CAMPO,VIGILANCIA EPIDEMIOLOGICA,2025345,32
SP,SAO PAULO,MATERNIDADE SANTA JOANA,2079542,32
AC,CRUZEIRO DO SUL,HOSPITAL REGIONAL DO JURUA,5336171,31
AL,MACEIO,UPA TRAPICHE DA BARRA,7911238,31
AM,IRANDUBA,UNIDADE HOSPITALAR DE IRANDUBA,2012839,31
AM,MANAUS,FUNDACAO HOSPITAL ADRIANO JORGE,2012685,31
AM,MANAUS,UPA 24HS CAMPOS SALES,7458606,31
CE,OROS,HOSP MATERN LUZIA T DA COSTA,2499037,31
DF,BRASILIA,HOSPITAL DA CRIANCA DE BRASILIA JOSE ALENCAR HCB,6876617,31
ES,LINHARES,HOSPITAL RIO DOCE,2465833,31
ES,SAO MATEUS,HOSPITAL DR ROBERTO ARNIZAUT SILVARES,2550687,31
GO,GOIANIA,CAIS BAIRRO GOIA,2339447,31
MA,IMPERATRIZ,HOSPITAL UNIMED,2825856,31
MG,BETIM,UPA NILDA NOGUEIRA DO A ANDRADE GUANABARA,2126419,31
MG,CONTAGEM,PRONTO ATENDIMENTO E CENTRO DE PROMOCAO A SAUDE UNIMED,6363644,31
MG,ITAJUBA,SANTA CASA DE MISERICORDIA DE ITAJUBA,2127687,31
MG,SAO SEBASTIAO DO PARAISO,SANTA CASA DE PARAISO,2146525,31
MG,VARGINHA,HOSPITAL HUMANITAS UNIMED,2761319,31
PB,CAMPINA GRANDE,HOSPITAL MUNICIPAL DR SEVERINO BEZERRA DE CARVALHO,7113692,31
PR,CASCAVEL,HOSPITAL E MATERNIDADE DR LIMA LTDA,3014509,31
PR,CASCAVEL,UPA TANCREDO NEVES,7119097,31
RJ,NOVA IGUACU,PRONTONIL,2282097,31
RJ,RIO DE JANEIRO,HOSPITAL SAMARITANO,3042081,31
RJ,RIO DE JANEIRO,SMS COORDENADORIA GERAL DE ATENCAO PRIMARIA AP 21,5423996,31
RN,MOSSORO,VIGILANCIA A SAUDE,2501961,31
RS,LAGOA VERMELHA,HOSPITAL SAO PAULO,3819590,31
RS,SANANDUVA,HOSPITAL SAO JOAO SANANDUVA,2246767,31
RS,SANTA CRUZ DO SUL,HOSPITAL ANA NERY,2255936,31
SC,CANELINHA,FUNDACAO HOSPITALAR MUNICIPAL DE CANELINHA,2596784,31
SC,ITUPORANGA,HOSPITAL BOM JESUS,2377829,31
SP,APARECIDA,SANTA CASA DE APARECIDA,2083051,31
SP,BIRIGUI,HOSPITAL UNIMED DE BIRIGUI,3689972,31
SP,CARAPICUIBA,PRONTO SOCORRO COHAB II,2045982,31
SP,FRANCA,HOSPITAL REGIONAL DE FRANCA SP,2081601,31
SP,ITAPOLIS,SANTA CASA DE MISERICORDIA ITAPOLIS,2079836,31
SP,MORRO AGUDO,HOSPITAL SAO MARCOS MORRO AGUDO,2745801,31
SP,OSASCO,UPA VICENTE MISSIANO,7996802,31
SP,PINDAMONHANGABA,PRONTO SOCORRO MUNICIPAL DE PINDAMONHANGABA,9225137,31
SP,PIRASSUNUNGA,SANTA CASA DE PIRASSUNUNGA,2785382,31
SP,PITANGUEIRAS,SANTA CASA DE PITANGUEIRAS,2089548,31
SP,SAO BERNARDO DO CAMPO,HOSPITAL SANTA HELENA ASSISTENCIA MEDICA SB DO CAMPO,2081539,31
AL,PALMEIRA DOS INDIOS,HOSPITAL REGIONAL SANTA RITA E MATERNIDADE SANTA OLIMPIA,2010631,30
AM,MANAUS,MATERNIDADE BALBINA MESTRINHO,2019558,30
AM,URUCARA,UNIDADE HOSPITALAR DE URUCARA,2717395,30
BA,CAMPO FORMOSO,HOSPITAL SAO FRANCISCO,2799839,30
CE,ACOPIARA,HOSPITAL MUNICIPAL DE ACOPIARA,9275134,30
ES,VILA VELHA,PRONTO ATENDIMENTO DR ANTONIO BATALHA DE BARCELLOS PA GLORIA,6792782,30
GO,SENADOR CANEDO,UPA UNIDADE DE PRONTO ATENDIMENTO DE SENADOR CANEDO,7157681,30
MG,JUIZ DE FORA,UPA SANTA LUZIA,6463487,30
MT,ARAPUTANGA,SECRETARIA MUNICIPAL DE SAUDE DE ARAPUTANGA,6420060,30
PA,BELEM,HOSPITAL DE AERONAUTICA DE BELEM,7453124,30
PB,CAJAZEIRAS,HOSPITAL UNIVERSITARIO JULIO MARIA BANDEIRA DE MELLO,2504502,30
PB,SANTA RITA,HOSPITAL E MATERNIDADE FLAVIO RIBEIRO COUTINHO,2592746,30
PR,CIANORTE,FUNDHOSPAR FUNDACAO HOSPITALAR DO PARANA,2735989,30
PR,TOLEDO,PRONTO ATENDIMENTO 24 HORAS DR JORGE MILTON NUNES,4056698,30
RJ,RIO DE JANEIRO,SMS RIO HOSPITAL MUNICIPAL JESUS,2269341,30
RN,NATAL,UPA 24HS CIDADE SATELITE,9361936,30
SC,MARAVILHA,HOSPITAL SAO JOSE DE MARAVILHA,2538180,30
SE,NOSSA SENHORA DO SOCORRO,UPA 24H VEREADOR JAIRO JOAQUIM DOS SANTOS,90964,30
SP,CERQUILHO,SANTA CASA DE MISERICORDIA DE CERQUILHO,2751569,30
SP,FRANCO DA ROCHA,UNIDADE DE PRONTO ATENDIMENTO DE FRANCO DA ROCHA UPA II,2706245,30
SP,LIMEIRA,HOSPITAL UNIMED DE LIMEIRA,2024632,30
SP,PONTAL,SANTA CASA DE PONTAL,2083493,30
SP,PORTO FERREIRA,SECRETARIA MUNICIPAL DE SAUDE PORTO FERREIRA,5704790,30
TO,PALMAS,HOSPITAL UNIMED PALMAS,5144175,30
TO,PALMAS,INSTITUTO DE TERAPIA INTENSIVA DO TOCANTINS,6454283,30
TO,PORTO NACIONAL,HOSPITAL REGIONAL DE PORTO NACIONAL,2786125,30
AM,MANAUS,SPA SAO RAIMUNDO,5084458,29
BA,BARREIRAS,HOSPITAL MUNICIPAL EURICO DUTRA,2659069,29
CE,BOA VIAGEM,CASA DE SAUDE ADILIA MARIA,2479028,29
GO,CRISTALINA,UPA 24 H WASFI JOSE DAHER,7924801,29
MA,TIMON,UPA TIMON,6928331,29
MG,ITAOBIM,HOSPITAL VALE DO JEQUITINHONHA,2139073,29
MT,BOM JESUS DO ARAGUAIA,PRONTO ATENDIMENTO 24 HORAS BJA,7889046,29
MT,CUIABA,POLICLINICA DO COXIPO,2471086,29
MT,CUIABA,POLICLINICA PASCOAL RAMOS,2655004,29
MT,SAO JOSE DOS QUATRO MARCOS,SECRETARIA MUNICIPAL DE SAUDE DE SAO JOSE DOS QUATRO MARCOS,2394200,29
PA,BELEM,HOSPITAL GUADALUPE,3240231,29
PE,PETROLINA,NEUROCARDIO,2430118,29
PR,ROLANDIA,HOSPITAL SAO RAFAEL,4055748,29
RJ,PETROPOLIS,PRONTO SOCORRO LEONIDAS SAMPAIO,2275554,29
RJ,RIO DE JANEIRO,SMS HOSPITAL MUNICIPAL DA PIEDADE AP 32,2269481,29
RN,SANTO ANTONIO,HOSPITAL REGIONAL LINDOLFO GOMES VIDAL,2375265,29
RO,JI-PARANA,HOSPITAL DR CLAUDIONOR COUTO RORIZ,2495279,29
RS,CAPAO DA CANOA,HOSPITAL BENEFICIENTE SANTA LUZIA,2707969,29
RS,SAO SEBASTIAO DO CAI,HOSPITAL SAGRADA FAMILIA,2227908,29
SC,FLORIANOPOLIS,HOSPITAL NEREU RAMOS,2664879,29
SC,IBIRAMA,HOSPITAL DR WALDOMIRO COLAUTTI,2691884,29
SE,SIMAO DIAS,UNIDADE DE PRONTO ATENDIMENTO 24 H PEDRO VALADARES,2546000,29
SP,CUBATAO,VIGILANCIA EPIDEMIOLOGICA DE CUBATAO,2056690,29
SP,JUNDIAI,HOSPITAL SANTA ELISA,2078759,29
SP,MAIRINQUE,PRONTO ATENDIMENTO MUNICIPAL DE MAIRINQUE,2083183,29
SP,SAO JOAO DA BOA VISTA,SANTA CASA DE MISERICORDIA DONA CAROLINA MALHEIROS SJBV,2084228,29
SP,VALPARAISO,SANTA CASA DE VALPARAISO,2081105,29
AL,CORURIPE,CARVALHO BELTRAO SERVICOS DE SAUDE LTDA,2010356,28
BA,SALVADOR,HOSPITAL ANA NERY,3875,28
GO,GOIANIA,HOSPITAL AMPARO,3400573,28
GO,GOIANIA,HOSPITAL RENAISSANCE LTDA,2518155,28
GO,GOIANIA,UPA JARDIM NOVO MUNDO,2339315,28
GO,LUZIANIA,HOSPITAL REGIONAL DE LUZIANIA,2340194,28
MA,IMPERATRIZ,UPA SAO JOSE,7275099,28
MA,SAO LUIS,HOSPITAL DR GENESIO REGO,2309475,28
MG,BELO HORIZONTE,UNIDADE DE PRONTO ATENDIMENTO NORTE,23272,28
MG,DIAMANTINA,SANTA CASA DE CARIDADE,2135132,28
MG,EUGENOPOLIS,HOSPITAL SAO JOSE,2163071,28
MG,SANTA LUZIA,UNIDADE DE PRONTO ATENDIMENTO DE SAO BENEDITO,2164175,28
MS,CAMPO GRANDE,PRONCOR,9784,28
MS,COXIM,HOSPITAL REGIONAL DR ALVARO FONTOURA SILVA,6426190,28
MS,NOVA ANDRADINA,FUNDACAO SERVICOS DE SAUDE DE NOVA ANDRADINA FUNSAU NA,2371243,28
PA,BELEM,UPA DAICO,7260784,28
PA,IGARAPE-ACU,HOSPITAL MATERNIDADE JOSE BERNARDO DA SILVEIRA,2804638,28
PE,GARANHUNS,UPAE ANTONIO SIMAO DOS SANTOS FIGUEIRA GARANHUNS,7296762,28
RJ,DUQUE DE CAXIAS,HOSPITAL SANTA BRANCA,5360218,28
RJ,RIO DE JANEIRO,SMS RIO HOSPITAL MUNICIPAL ROCHA MAIA,2273489,28
RJ,SAO JOSE DO VALE DO RIO PRETO,HOSPITAL MUNICIPAL MATERNIDADE SANTA THERESINHA,2292270,28
RN,MOSSORO,HOSPITAL RAFAEL FERNANDES,2503654,28
RS,SANTA CRUZ DO SUL,HOSPITAL SANTA CRUZ,2254964,28
SC,SAO FRANCISCO DO SUL,HOSPITAL MUNICIPAL NOSSA SENHORA DA GRACA,7105088,28
SP,FRANCA,VIGILANCIA EPIDEMIOLOGICA MUNICIPAL,3889521,28
SP,LINS,HOSPITAL E MATERNIDADE SAO LUCAS,3060616,28
SP,MONTE MOR,ASSOCIACAO HOSPITAL BENEFICENTE SAGRADO CORACAO DE JESUS,2078341,28
SP,OURINHOS,SANTA CASA DE OURINHOS,4049020,28
SP,SAO PAULO,ASSOCIACAO HOSPITAL PERSONAL CUIDADOS ESPECIAIS,5607442,28
AM,BOCA DO ACRE,UNIDADE HOSPITALAR DE BOCA DO ACRE,2012499,27
AM,CAAPIRANGA,UNIDADE HOSPITALAR DE CAAPIRANGA,2016656,27
BA,LAURO DE FREITAS,SECRETARIA MUNICIPAL DE SAUDE,6716504,27
BA,SALVADOR,HOSPITAL ESTADUAL DA MULHER,3778,27
GO,GOIANIA,HOSPITAL NEUROLOGICO,2339765,27
GO,GOIANIA,HOSPITAL SANTA ROSA,2338173,27
GO,SAO SIMAO,HOSPITAL MUNICIPAL DE SAO SIMAO,2383012,27
MG,CONTAGEM,UNIDADE DE PRONTO ATENDIMENTO VARGEM DAS FLORES UPA,2189860,27
MG,JUIZ DE FORA,UPA NORTE,7104804,27
MG,SAO JOAO DEL REI,SANTA CASA DA MISERICORDIA DE SAO JOAO DEL REI,2161354,27
MG,UNAI,HOSPITAL SANTA HELENA,2760797,27
MT,CAMPOS DE JULIO,HOSPITAL MUNICIPAL LEOCYR LAZARETE,2394324,27
MT,CUIABA,HOSPITAL DE CANCER DE MATO GROSSO,2534444,27
MT,LAMBARI D'OESTE,SECRETARIA MUNICIPAL DE SAUDE DE LAMBARI DOESTE,6363989,27
MT,PEIXOTO DE AZEVEDO,HOSPITAL REGIONAL DE PEIXOTO DE AZEVEDO,2699842,27
